actual_category,canonical_category
Abandonment/Isolation,Abandonment/Isolation
Abandonment/Neglect,Abandonment/Neglect
Absorbed/Distracted,Absorbed/Distracted
Absorption/Deep Focus,Absorption/Deep Focus
Abuse/Victimization,Abuse/Victimization
Acceptance/Patience,Acceptance/Patience
Acceptance/Surrender,Acceptance/Surrender
Accepting/Submissive,Accepting/Submissive
Accountable/Reliable,Accountable/Reliable
Accusation/Responsibility,Accusation/Responsibility
Achievement/Self-Worth,Achievement/Self-Worth
Achieving/Accomplished,Achieving/Accomplished
Acknowledged/Appreciated,Acknowledged/Appreciated
Acknowledged/Recognized,Acknowledged/Recognized
Acknowledged/Understood,Acknowledged/Understood
Act of Refusing/Dismissal,Act of Refusing/Dismissal
Activation/Excitement,Activation/Excitement
Activity/Engagement,Activity/Engagement
Adaptability/Openness,Adaptability/Openness
Adaptable/Flexible,Adaptable/Flexible
Adequacy/Neutrality,Adequacy/Neutrality
Admiration/Appreciation,Admiration/Appreciation
Aesthetic Appreciation/Attractiveness,Aesthetic Appreciation/Attractiveness
Affection Given/Caring,Affection Given/Caring
Affection/Acceptance,Affection/Acceptance
Affection/Appeal,Affection/Appeal
Affection/Preciousness,Affection/Preciousness
Affection/Warmth,Affection/Warmth
Afflicted/Distressed,Afflicted/Distressed
Aggressive Antagonism/Opposition,Aggressive Antagonism/Opposition
Aggressive Opposition/Animosity,Aggressive Opposition/Animosity
Aggressively Demanding/Forceful,Aggressively Demanding/Forceful
Agitated/Excited,Agitated/Excited
Agitation/Unease,Agitation/Unease
Agreeable/Enjoyable,Agreeable/Enjoyable
Alarm/Distress,Alarm/Distress
Alcoholic/Intoxicating,Alcoholic/Intoxicating
Alertness/Vigilance,Alertness/Vigilance
Alone/Isolated,Alone/Isolated
Amazed/Astounded,Amazed/Astounded
Amazed/Delighted,Amazed/Delighted
Amazed/Impressed,Amazed/Impressed
Amazed/Overwhelmed,Amazed/Overwhelmed
Amazed/Reverent,Amazed/Reverent
Anger/Annoyance,Anger/Annoyance
Anger/Assertion,Anger/Assertion
Anger/Bitterness,Anger/Bitterness
Anger/Frustration,Anger/Frustration
Anger/Fury,Anger/Fury
Anger/Hostility,Anger/Hostility
Anger/Intensity,Anger/Intensity
Anger/Irritability,Anger/Irritability
Anger/Irritation,Anger/Irritation
Anger/Rage,Anger/Rage
"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)","Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)"
Angry/Furious,Angry/Furious
Annoyance/Agitation,Annoyance/Agitation
Annoyed/Frustrated,Annoyed/Frustrated
Anticipation/Enthusiasm,Anticipation/Enthusiasm
Anticipation/Readiness,Anticipation/Readiness
Anxiety/Apprehension,Anxiety/Apprehension
Anxiety/Concern,Anxiety/Concern
Anxiety/Discomfort,Anxiety/Discomfort
Anxiety/Nervousness,Anxiety/Nervousness
Anxiety/Worry,Anxiety/Worry
Apathy/Disinterest,Apathy/Disinterest
Apathy/Indifference,Apathy/Indifference
Apathy/Lethargy,Apathy/Lethargy
Appeal/Attractiveness,Appeal/Attractiveness
Appeal/Magnetism,Appeal/Magnetism
Appealing to Senses/Luxurious,Appealing to Senses/Luxurious
Appetite/Need,Appetite/Need
Appreciation/Recognition,Appreciation/Recognition
Appreciation/Thankfulness,Appreciation/Thankfulness
Argumentative/Contentious,Argumentative/Contentious
Arrogance/Pride,Arrogance/Pride
Arrogant/Self-important,Arrogant/Self-important
Astonishment/Wonder,Astonishment/Wonder
Attention/Focus Difficulty,Attention/Focus Difficulty
Attractive/Appealing,Attractive/Appealing
Attractive/Pleasant,Attractive/Pleasant
Authority/Command,Authority/Command
Authority/Control,Authority/Control
Avarice/Excessive Desire,Avarice/Excessive Desire
Avaricious/Selfish,Avaricious/Selfish
Aversion/Antipathy,Aversion/Antipathy
Avoidance/Rejection,Avoidance/Rejection
Awakened/Stirred Up,Awakened/Stirred Up
Awe/Curiosity,Awe/Curiosity
Awe/Wonder,Awe/Wonder
Awful/Dreadful,Awful/Dreadful
Balance/Serenity,Balance/Serenity
Balance/Unity,Balance/Unity
Balanced/Composed,Balanced/Composed
Balanced/Impartial,Balanced/Impartial
Bare/Exposed,Bare/Exposed
Beautiful/Delightful,Beautiful/Delightful
Belief That Universe Conspires to Help,Belief That Universe Conspires to Help
Bereavement/Loss,Bereavement/Loss
Betrayal/Deception,Betrayal/Deception
Bewildered/Amazed,Bewildered/Amazed
Bleakness/Gloom,Bleakness/Gloom
Blessing/Luck,Blessing/Luck
Blocked Progress/Annoyance,Blocked Progress/Annoyance
Bonding/Unity,Bonding/Unity
Boring/Tiresome,Boring/Tiresome
Bound by Duty/Required,Bound by Duty/Required
Bravery/Strength,Bravery/Strength
Bravery/Valor,Bravery/Valor
Bright/Glowing with Joy,Bright/Glowing with Joy
Burden/Weight,Burden/Weight
Burdened/Overwhelmed,Burdened/Overwhelmed
Calm/Control,Calm/Control
Calm/Peaceful,Calm/Peaceful
Calm/Restful,Calm/Restful
Calm/Tolerant,Calm/Tolerant
Calm/Unaffected,Calm/Unaffected
Calmed/Comforted,Calmed/Comforted
Cannot Be Resisted/Compelling,Cannot Be Resisted/Compelling
Captivating/Overwhelming,Captivating/Overwhelming
Carefree/Unconcerned,Carefree/Unconcerned
Careless/Impulsive,Careless/Impulsive
Caring/Benevolent,Caring/Benevolent
Casually Indifferent/Cool,Casually Indifferent/Cool
Caution/Defensiveness,Caution/Defensiveness
Caution/Suspicion,Caution/Suspicion
Cautious/Suspicious,Cautious/Suspicious
Celebration/Joy,Celebration/Joy
Changeable Temperament/Irritability,Changeable Temperament/Irritability
Chaos/Disorder,Chaos/Disorder
Charmed/Delighted,Charmed/Delighted
Cheerful/Joyful,Cheerful/Joyful
Cheerful/Merry,Cheerful/Merry
Childlike/Innocent,Childlike/Innocent
Choked/Constrained,Choked/Constrained
Choked/Restrained,Choked/Restrained
Clarity/Understanding,Clarity/Understanding
Clean/Untainted,Clean/Untainted
Clear-Headed/Serious,Clear-Headed/Serious
Cleared/Justified,Cleared/Justified
Clinical Condition/Mood Disorder,Clinical Condition/Mood Disorder
Close Personal Connection/Privacy,Close Personal Connection/Privacy
Coercion/Pressure,Coercion/Pressure
Collaboration/Teamwork,Collaboration/Teamwork
Comfort from Distress/Ease,Comfort from Distress/Ease
Comforted/Confident,Comforted/Confident
Communication/Authenticity,Communication/Authenticity
Compassion/Concern,Compassion/Concern
Compassion/Empathy,Compassion/Empathy
Compassion/Understanding,Compassion/Understanding
Compassionate Sorrow/Sympathy,Compassionate Sorrow/Sympathy
Competence/Ability,Competence/Ability
Competence/Mastery,Competence/Mastery
Competent/Business-like,Competent/Business-like
Complacent/Smug,Complacent/Smug
Complaining/Fretful,Complaining/Fretful
Complete Separation/Loneliness,Complete Separation/Loneliness
Composure/Detachment,Composure/Detachment
Compulsively Preoccupied/Fixated,Compulsively Preoccupied/Fixated
Conceited/Futile,Conceited/Futile
Concentration/Attention,Concentration/Attention
Condescended To/Belittled,Condescended To/Belittled
Confidence/Assurance,Confidence/Assurance
Confidence/Authority,Confidence/Authority
Confidence/Certainty,Confidence/Certainty
Confidence/Conviction,Confidence/Conviction
Confident/Certain,Confident/Certain
Confined/Restricted,Confined/Restricted
Confinement/Restriction,Confinement/Restriction
Confirmed/Affirmed,Confirmed/Affirmed
Conflict/Division,Conflict/Division
Confused/Perplexed,Confused/Perplexed
Confusion/Agitation,Confusion/Agitation
Confusion/Aimlessness,Confusion/Aimlessness
Confusion/Bewilderment,Confusion/Bewilderment
Confusion/Conflict,Confusion/Conflict
Confusion/Disorientation,Confusion/Disorientation
Confusion/Obscurity,Confusion/Obscurity
Confusion/Perplexity,Confusion/Perplexity
Connected/Associated,Connected/Associated
Connection/Bonding,Connection/Bonding
Considerate/Reflective,Considerate/Reflective
Contempt/Disdain,Contempt/Disdain
Contempt/Hatred,Contempt/Hatred
Controlling/Jealous,Controlling/Jealous
Convincing/Influential,Convincing/Influential
Correct/Appropriate,Correct/Appropriate
Corrupt/Mercenary,Corrupt/Mercenary
Courage/Boldness,Courage/Boldness
Courage/Bravery,Courage/Bravery
Courage/Confidence,Courage/Confidence
Courage/Empowerment,Courage/Empowerment
Courage/Nobility,Courage/Nobility
Courage/Valor,Courage/Valor
Courteous/Well-Mannered,Courteous/Well-Mannered
Creativity/Abundance,Creativity/Abundance
Criticism/Censure,Criticism/Censure
Cruelty/Harshness,Cruelty/Harshness
Curiosity/Engagement,Curiosity/Engagement
Curiosity/Interest,Curiosity/Interest
Curious/Inquisitive,Curious/Inquisitive
Cynically Mocking/Scornful,Cynically Mocking/Scornful
Cynicism/Weariness,Cynicism/Weariness
Damage/Fragmentation,Damage/Fragmentation
Damaged/Burned,Damaged/Burned
Deception/Foolishness,Deception/Foolishness
Dedication/Loyalty,Dedication/Loyalty
Deep Affection/Profound Connection,Deep Affection/Profound Connection
Deep Desire/Yearning,Deep Desire/Yearning
Deep Happiness/Delight,Deep Happiness/Delight
Deep Regret/Sorrow,Deep Regret/Sorrow
Deep Sorrow/Grief,Deep Sorrow/Grief
Deep Suffering/Wretchedness,Deep Suffering/Wretchedness
Deeply Sad/Pensive,Deeply Sad/Pensive
Deeply Thoughtful/Reflective,Deeply Thoughtful/Reflective
Defeat/Exhaustion,Defeat/Exhaustion
Defeated/Conquered,Defeated/Conquered
Defiant/Rebellious,Defiant/Rebellious
Defiant/Resistant,Defiant/Resistant
Dejected/Dispirited,Dejected/Dispirited
Dejection/Discouragement,Dejection/Discouragement
Dejection/Discouragment,Dejection/Discouragment
Dejection/Moodiness,Dejection/Moodiness
Dependable/Trustworthy,Dependable/Trustworthy
Depletion/Exhaustion,Depletion/Exhaustion
Depression/Low Mood,Depression/Low Mood
Depression/Sadness,Depression/Sadness
Deserving/Valuable,Deserving/Valuable
Desire/Longing,Desire/Longing
Despair/Desperation,Despair/Desperation
Despair/Futility,Despair/Futility
Destruction/Devastation,Destruction/Devastation
Destruction/Ruin,Destruction/Ruin
Detachment/Disconnection,Detachment/Disconnection
Detachment/Remoteness,Detachment/Remoteness
Determined/Settled,Determined/Settled
Devastation/Annihilation,Devastation/Annihilation
Devastation/Defeat,Devastation/Defeat
Difficulty/Growth Opportunity,Difficulty/Growth Opportunity
Difficulty/Toughness,Difficulty/Toughness
Diminishment/Powerlessness,Diminishment/Powerlessness
Diminutive/Little,Diminutive/Little
Disappointment/Frustration,Disappointment/Frustration
Discomfort/Unease,Discomfort/Unease
Discouraged/Deflated,Discouraged/Deflated
Discouragement/Hopelessness,Discouragement/Hopelessness
Disdain/Scorn,Disdain/Scorn
Disgraceful/Dishonorable,Disgraceful/Dishonorable
Disgust/Aversion,Disgust/Aversion
Disgust/Revulsion,Disgust/Revulsion
Disgusted/Repulsed,Disgusted/Repulsed
Disillusionment/Loss of Faith,Disillusionment/Loss of Faith
Disinterest/Apathy,Disinterest/Apathy
Disorientation/Uncertainty,Disorientation/Uncertainty
Disquiet/Restlessness,Disquiet/Restlessness
Disruption/Unease,Disruption/Unease
Dissatisfaction/Annoyance,Dissatisfaction/Annoyance
Dissatisfied/Restless,Dissatisfied/Restless
Distracted/Absent-minded,Distracted/Absent-minded
Distraction/Lack of Focus,Distraction/Lack of Focus
Distress/Consternation,Distress/Consternation
Distrust/Wariness,Distrust/Wariness
Disturbance/Agitation,Disturbance/Agitation
Disturbance/Worry,Disturbance/Worry
Disturbed/Shaken,Disturbed/Shaken
Disturbed/Unsettled,Disturbed/Unsettled
Disturbed/Upset,Disturbed/Upset
Dominance/Manipulation,Dominance/Manipulation
Doubt/Ambiguity,Doubt/Ambiguity
Doubted/Discredited,Doubted/Discredited
Doubtful/Questioning,Doubtful/Questioning
Drive/Rivalry,Drive/Rivalry
Dull/Unimaginative,Dull/Unimaginative
Ease/Calm,Ease/Calm
Ease/Security,Ease/Security
Ecstasy/Divine Joy,Ecstasy/Divine Joy
Ecstasy/Joy,Ecstasy/Joy
Effective/Fruitful,Effective/Fruitful
Effervescence/Enthusiasm,Effervescence/Enthusiasm
Elevated/Euphoric,Elevated/Euphoric
Emotional (General emotional impact),Emotional (General emotional impact)
Emotional Detachment/Cruelty,Emotional Detachment/Cruelty
Emotional Distance/Detachment,Emotional Distance/Detachment
Emotional Emptiness/Neutrality,Emotional Emptiness/Neutrality
Emotional Fluctuation/Temperament,Emotional Fluctuation/Temperament
Emotionally Affected/Touched,Emotionally Affected/Touched
Emotionally Nostalgic/Tender,Emotionally Nostalgic/Tender
Empathy/Caring,Empathy/Caring
Empathy/Kindness,Empathy/Kindness
Emptiness/Bleakness,Emptiness/Bleakness
Emptiness/Void,Emptiness/Void
Enchantment/Charm,Enchantment/Charm
Enchantment/Delight,Enchantment/Delight
Enchantment/Fascination,Enchantment/Fascination
Enduring/Unemotional,Enduring/Unemotional
Energetic Joy/Invigoration,Energetic Joy/Invigoration
Energetic/Strong,Energetic/Strong
Energy/Enthusiasm,Energy/Enthusiasm
Energy/Liveliness,Energy/Liveliness
Energy/Passion,Energy/Passion
Energy/Vitality,Energy/Vitality
Engaged/Participating,Engaged/Participating
Enjoyable/Satisfying,Enjoyable/Satisfying
Enjoyment/Satisfaction,Enjoyment/Satisfaction
Enlarged/Inflated,Enlarged/Inflated
Entertained/Delighted,Entertained/Delighted
Enthusiasm/Anticipation,Enthusiasm/Anticipation
Enthusiasm/Energy,Enthusiasm/Energy
Enthusiasm/Passion,Enthusiasm/Passion
Enthusiasm/Sharpness,Enthusiasm/Sharpness
Envious Possessiveness/Resentment,Envious Possessiveness/Resentment
Envy/Possessiveness,Envy/Possessiveness
Esteemed/Honored,Esteemed/Honored
Excellence/Intelligence,Excellence/Intelligence
Excessive Load/Overload,Excessive Load/Overload
Excessive Sentimentality/Mushiness,Excessive Sentimentality/Mushiness
Excessively Emotional/Dramatic,Excessively Emotional/Dramatic
Excessively Labored/Exhausted,Excessively Labored/Exhausted
Excited/Aroused,Excited/Aroused
Excitement/Elation,Excitement/Elation
"Excitement/Enthusiasm (Provisional: overlaps with Anger/Rage, Passion)","Excitement/Enthusiasm (Provisional: overlaps with Anger/Rage, Passion)"
Excitement/Exhilaration,Excitement/Exhilaration
Excitement/Future-Focus,Excitement/Future-Focus
Excitement/Jubilation,Excitement/Jubilation
Excitement/Passion,Excitement/Passion
Exclusion/Dismissal,Exclusion/Dismissal
Exclusion/Isolation,Exclusion/Isolation
Exhaustion/Depletion,Exhaustion/Depletion
Experiencing Pain/Distress,Experiencing Pain/Distress
Exposed/Vulnerable,Exposed/Vulnerable
Extreme Anger/Fury,Extreme Anger/Fury
Extreme Anger/Indignation,Extreme Anger/Indignation
Extreme Anger/Outrage,Extreme Anger/Outrage
Extreme Anger/Rage,Extreme Anger/Rage
Extreme Anxiety/Panic,Extreme Anxiety/Panic
Extreme Embarrassment/Shame,Extreme Embarrassment/Shame
Extreme Emotion/Loss of Control,Extreme Emotion/Loss of Control
Extreme Emotional Disturbance/Panic,Extreme Emotional Disturbance/Panic
Extreme Excitement/Confusion,Extreme Excitement/Confusion
Extreme Fear/Panic,Extreme Fear/Panic
Extreme Fear/Terror,Extreme Fear/Terror
Extreme Happiness/Bliss,Extreme Happiness/Bliss
Extreme Indignation/Moral Anger,Extreme Indignation/Moral Anger
Extreme Joy/Rapture,Extreme Joy/Rapture
Extreme Rage/Wrath,Extreme Rage/Wrath
Extreme Upset/Agitation,Extreme Upset/Agitation
Extreme Urgency/Crisis,Extreme Urgency/Crisis
Extremely Distasteful/Revolting,Extremely Distasteful/Revolting
Extremely Enthusiastic/Fanatical,Extremely Enthusiastic/Fanatical
Extremely Frightened/Paralyzed with Fear,Extremely Frightened/Paralyzed with Fear
Extremely Happy/Elated,Extremely Happy/Elated
Extremely Impressive/Astounding,Extremely Impressive/Astounding
Failure/Surrender,Failure/Surrender
Faith/Reliance,Faith/Reliance
Fascinated/Curious,Fascinated/Curious
Fascinated/Enchanted,Fascinated/Enchanted
Fascination/Captivation,Fascination/Captivation
Fatigue/Depletion,Fatigue/Depletion
Fatigue/Exhaustion,Fatigue/Exhaustion
Fatigue/Sluggishness,Fatigue/Sluggishness
Fear/Alert,Fear/Alert
Fear/Anticipatory Anxiety,Fear/Anticipatory Anxiety
Fear/Anxiety,Fear/Anxiety
Fear/Apprehension,Fear/Apprehension
Fear/Crisis,Fear/Crisis
Fear/Submission,Fear/Submission
Fear/Terror,Fear/Terror
Fear/Vulnerability,Fear/Vulnerability
Fearful/Avoiding,Fearful/Avoiding
Feeble/Fragile,Feeble/Fragile
Feeling Expression/Sensitivity,Feeling Expression/Sensitivity
Feeling Lonely/Solitary,Feeling Lonely/Solitary
Feeling Remorse/Sorry,Feeling Remorse/Sorry
Flexible/Pliant,Flexible/Pliant
Fluctuating/Unstable,Fluctuating/Unstable
Foolish/Unintelligent,Foolish/Unintelligent
Forbidden/Prohibited,Forbidden/Prohibited
Formal/Authorized,Formal/Authorized
Fortunate/Blessed,Fortunate/Blessed
Freed/Emancipated,Freed/Emancipated
Freedom/Relief,Freedom/Relief
Friendliness/Harmony,Friendliness/Harmony
Friendly/Outgoing,Friendly/Outgoing
Frightened/Startled,Frightened/Startled
Frustration/Annoyance,Frustration/Annoyance
Frustration/Irritation,Frustration/Irritation
Frustration/Saturation,Frustration/Saturation
Fulfillment/Contentment,Fulfillment/Contentment
Full of Deep Sadness/Grief,Full of Deep Sadness/Grief
Full of Grief/Sorrowful,Full of Grief/Sorrowful
Full of Malicious Intent/Vindictive,Full of Malicious Intent/Vindictive
Full of Sexual Desire/Passionate,Full of Sexual Desire/Passionate
Gentle Affection/Care,Gentle Affection/Care
Gentle/Soft,Gentle/Soft
Gentle/Tender,Gentle/Tender
Genuine/Honest,Genuine/Honest
Genuineness/Truth,Genuineness/Truth
Giving/Kindness,Giving/Kindness
Good-Humored/Cheerful,Good-Humored/Cheerful
Gratitude/Appreciation,Gratitude/Appreciation
Gratitude/Divine Grace,Gratitude/Divine Grace
Gratitude/Recognition,Gratitude/Recognition
Grave/Earnest,Grave/Earnest
Grief/Loss,Grief/Loss
Grief/Sadness,Grief/Sadness
Grounded/Established,Grounded/Established
Happiness/Delight,Happiness/Delight
Happiness/Pleasure,Happiness/Pleasure
Harmed/Exploited,Harmed/Exploited
Harmony/Cooperation,Harmony/Cooperation
Hatred/Contempt,Hatred/Contempt
Hatred/Loathing,Hatred/Loathing
Having Been Ignored/Overlooked,Having Been Ignored/Overlooked
Having Clear Intent/Directed,Having Clear Intent/Directed
Having Negative Outlook/Cynical,Having Negative Outlook/Cynical
Heat/Temperature,Heat/Temperature
Helplessness/Impotence,Helplessness/Impotence
Hesitancy/Unwillingness,Hesitancy/Unwillingness
Hesitant/Unwilling,Hesitant/Unwilling
High Ideals/Vision,High Ideals/Vision
High Intensity/Concentration,High Intensity/Concentration
High Joy/Euphoria,High Joy/Euphoria
Higher/Dominant,Higher/Dominant
Hindered/Obstructed,Hindered/Obstructed
Holy/Revered,Holy/Revered
Honesty/Openness,Honesty/Openness
Honoring/Considerate,Honoring/Considerate
Hope/Positivity,Hope/Positivity
Hopeful/Positive Outlook,Hopeful/Positive Outlook
Hopelessness/Anguish,Hopelessness/Anguish
Hopelessness/Despair,Hopelessness/Despair
Hostility/Cruelty,Hostility/Cruelty
Hostility/Malice,Hostility/Malice
Humble/Unassuming,Humble/Unassuming
Humor/Delight,Humor/Delight
Humor/Lightness,Humor/Lightness
Humorous/Playful,Humorous/Playful
Hurt/Insulted,Hurt/Insulted
Hurt/Suffering,Hurt/Suffering
Idealistic/Dreamy,Idealistic/Dreamy
Ignorance/Confusion,Ignorance/Confusion
Ill Will/Spite,Ill Will/Spite
Ill/Unwell,Ill/Unwell
Immaturity/Playfulness,Immaturity/Playfulness
Impaired/Under Influence,Impaired/Under Influence
Impulsive Anger/Rashness,Impulsive Anger/Rashness
Impulsive/Natural,Impulsive/Natural
In a Kind Manner/Benevolently,In a Kind Manner/Benevolently
Inactive/Submissive,Inactive/Submissive
Inactivity/Lethargy,Inactivity/Lethargy
Inadequacy/Emptiness,Inadequacy/Emptiness
Inattention/Diversion,Inattention/Diversion
Indecisive/Uncertain,Indecisive/Uncertain
Infatuated/Charmed,Infatuated/Charmed
Inflexible/Stiff,Inflexible/Stiff
Injured/Hurt,Injured/Hurt
Inner Tension/Ambivalence,Inner Tension/Ambivalence
Innovation/Expression,Innovation/Expression
Insatiable/Unending,Insatiable/Unending
Insecure/Uncertain,Insecure/Uncertain
Insufficiency/Self-Doubt,Insufficiency/Self-Doubt
Intelligence/Ingenuity,Intelligence/Ingenuity
Intelligence/Perceptiveness,Intelligence/Perceptiveness
Intelligence/Radiance,Intelligence/Radiance
Intense Aggression/Power,Intense Aggression/Power
Intense Anger/Rage,Intense Anger/Rage
Intense Desire/Fervor,Intense Desire/Fervor
Intense Disgust/Aversion,Intense Disgust/Aversion
Intense Dislike/Loathing,Intense Dislike/Loathing
Intense Energy/Drive,Intense Energy/Drive
Intense Hatred/Disgust,Intense Hatred/Disgust
Intense Interest/Wonder,Intense Interest/Wonder
Intense Joy/Ecstasy,Intense Joy/Ecstasy
Intense Joy/Elation,Intense Joy/Elation
Intense Joy/Rapture,Intense Joy/Rapture
